Date,Num1,Num2,Num3,Num4,Num5,Powerball,PowerPlay,Year,YearMonth
2010-02-03,37,52,22,36,17,24,2,2010,2010-02
2010-02-06,22,54,52,14,59,4,3,2010,2010-02
2010-02-10,29,8,37,38,5,34,5,2010,2010-02
2011-01-01,37,47,18,22,54,36,2,2011,2011-01
2011-01-05,40,22,32,26,38,7,5,2011,2011-01
2011-01-08,7,52,6,33,26,24,2,2011,2011-01
2012-01-04,50,35,21,47,46,2,4,2012,2012-01
2012-01-07,3,24,38,21,39,24,5,2012,2012-01
2012-01-11,47,5,29,45,19,25,2,2012,2012-01
2013-01-02,20,18,53,28,35,20,,2013,2013-01
2013-01-05,30,49,54,26,51,25,,2013,2013-01
2013-01-09,11,20,13,27,59,26,,2013,2013-01
2014-01-01,52,48,15,24,40,23,,2014,2014-01
2014-01-04,19,58,37,20,41,14,,2014,2014-01
2014-01-08,39,28,58,47,10,22,,2014,2014-01
2015-01-03,4,43,46,55,18,25,3,2015,2015-01
2015-01-07,47,49,59,15,14,10,2,2015,2015-01
2015-01-10,19,9,29,2,28,19,5,2015,2015-01
2016-01-02,42,15,6,5,29,10,2,2016,2016-01
2016-01-06,47,2,63,62,11,17,3,2016,2016-01
2016-01-09,32,16,19,57,34,13,3,2016,2016-01
2017-01-04,17,16,42,41,29,4,3,2017,2017-01
2017-01-07,37,63,12,24,3,10,2,2017,2017-01
2017-01-11,1,16,13,43,3,24,2,2017,2017-01
2018-01-03,42,39,18,2,37,12,3,2018,2018-01
2018-01-06,12,61,30,29,33,26,3,2018,2018-01
2018-01-10,7,24,50,49,33,4,5,2018,2018-01
2019-01-02,56,46,42,12,8,12,2,2019,2019-01
2019-01-05,15,27,69,7,3,19,2,2019,2019-01
2019-01-09,19,59,37,6,49,22,3,2019,2019-01
2020-01-01,49,53,57,59,62,26,2,2020,2020-01
2020-01-04,54,1,25,21,11,7,2,2020,2020-01
2020-01-08,7,43,56,4,2,22,4,2020,2020-01
2021-01-02,3,67,41,4,11,5,2,2021,2021-01
2021-01-06,1,66,20,22,60,3,3,2021,2021-01
2021-01-09,45,46,26,14,38,13,2,2021,2021-01
2022-01-01,39,48,12,50,6,7,2,2022,2022-01
2022-01-03,2,33,13,32,48,22,2,2022,2022-01
2022-01-05,25,6,14,33,46,17,2,2022,2022-01
2023-01-02,9,62,12,7,31,22,2,2023,2023-01
2023-01-04,68,12,56,32,67,26,3,2023,2023-01
2023-01-07,45,36,67,35,44,14,3,2023,2023-01
2024-01-01,21,49,44,42,12,1,3,2024,2024-01
2024-01-03,48,30,38,68,31,8,10,2024,2024-01
2024-01-06,4,34,61,31,38,13,2,2024,2024-01
2025-01-01,66,6,28,12,35,26,3,2025,2025-01
2025-01-04,43,54,56,26,32,24,2,2025,2025-01
2025-01-06,17,34,46,67,66,14,2,2025,2025-01
